Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1,,,
2.56E-06,0.4,2.56E-06,-4.8,,,
2.57E-06,3.2,2.57E-06,-4.6,,,
2.58E-06,8.4,2.58E-06,-1.4,,,
2.59E-06,7.2,2.59E-06,3.2,,,
2.60E-06,6.6,2.60E-06,7.2,,,
2.61E-06,7.8,2.61E-06,8.6,,,
2.62E-06,9,2.62E-06,7.6,,,
2.63E-06,11,2.63E-06,5.2,,,
2.64E-06,11,2.64E-06,3.6,,,
2.65E-06,11.4,2.65E-06,2.8,,,
2.66E-06,10.4,2.66E-06,3.6,,,
2.67E-06,10,2.67E-06,4.8,,,
2.68E-06,9.4,2.68E-06,5.6,,,
2.69E-06,9.4,2.69E-06,6.2,,,
2.70E-06,10,2.70E-06,5.6,,,
2.71E-06,10.2,2.71E-06,5,,,
2.72E-06,10.6,2.72E-06,4.6,,,
2.73E-06,10.4,2.73E-06,4.6,,,
2.74E-06,10.2,2.74E-06,4.8,,,
2.75E-06,10.4,2.75E-06,5,,,
2.76E-06,9.8,2.76E-06,5.4,,,
2.77E-06,10.2,2.77E-06,5.2,,,
2.78E-06,10.2,2.78E-06,5.2,,,
2.79E-06,10,2.79E-06,4.8,,,
2.80E-06,10,2.80E-06,4.6,,,
2.81E-06,10,2.81E-06,4.8,,,
2.82E-06,10.2,2.82E-06,4.6,,,
2.83E-06,9.8,2.83E-06,4.8,,,
2.84E-06,10,2.84E-06,4.8,,,
2.85E-06,10,2.85E-06,5,,,
2.86E-06,10,2.86E-06,5.2,,,
2.87E-06,10.2,2.87E-06,5,,,
2.88E-06,10,2.88E-06,5,,,
2.89E-06,10,2.89E-06,5,,,
2.90E-06,10.2,2.90E-06,4.8,,,
2.91E-06,10,2.91E-06,4.8,,,
2.92E-06,10,2.92E-06,4.8,,,
2.93E-06,10,2.93E-06,4.8,,,
2.94E-06,10.2,2.94E-06,5,,,
2.95E-06,10.2,2.95E-06,4.8,,,
2.96E-06,10.4,2.96E-06,4.8,,,
2.97E-06,10.4,2.97E-06,5,,,
2.98E-06,10.2,2.98E-06,4.8,,,
2.99E-06,10.2,2.99E-06,5,,,
3.00E-06,10.2,3.00E-06,4.6,,,
3.01E-06,10.2,3.01E-06,5,,,
3.02E-06,10,3.02E-06,4.8,,,
3.03E-06,10,3.03E-06,5,,,
3.04E-06,10.2,3.04E-06,4.8,,,
3.05E-06,10.2,3.05E-06,5,,,
3.06E-06,10.2,3.06E-06,5,,,
3.07E-06,10,3.07E-06,5,,,
3.08E-06,10,3.08E-06,4.8,,,
3.09E-06,10,3.09E-06,5,,,
3.10E-06,10.2,3.10E-06,5,,,
3.11E-06,10,3.11E-06,4.8,,,
3.12E-06,10,3.12E-06,5,,,
3.13E-06,10.4,3.13E-06,4.6,,,
3.14E-06,10.2,3.14E-06,5,,,
3.15E-06,10,3.15E-06,4.8,,,
3.16E-06,10,3.16E-06,4.8,,,
3.17E-06,10.2,3.17E-06,5,,,
3.18E-06,9.8,3.18E-06,4.8,,,
3.19E-06,10.2,3.19E-06,4.8,,,
3.20E-06,10.4,3.20E-06,4.8,,,
3.21E-06,10.2,3.21E-06,4.6,,,
3.22E-06,10,3.22E-06,5.2,,,
3.23E-06,10,3.23E-06,4.6,,,
3.24E-06,10.2,3.24E-06,4.8,,,
3.25E-06,10.6,3.25E-06,5,,,
3.26E-06,10.2,3.26E-06,4.8,,,
3.27E-06,10.2,3.27E-06,4.8,,,
3.28E-06,10.4,3.28E-06,5,,,
3.29E-06,10.2,3.29E-06,5,,,
3.30E-06,10.2,3.30E-06,4.8,,,
3.31E-06,10.2,3.31E-06,4.6,,,
3.32E-06,10,3.32E-06,4.8,,,
3.33E-06,10.2,3.33E-06,4.6,,,
3.34E-06,10.4,3.34E-06,4.8,,,
3.35E-06,10,3.35E-06,5,,,
3.36E-06,10,3.36E-06,4.8,,,
3.37E-06,10.4,3.37E-06,4.8,,,
3.38E-06,10.4,3.38E-06,4.8,,,
3.39E-06,10.2,3.39E-06,4.8,,,
3.40E-06,10.2,3.40E-06,5,,,
3.41E-06,10.2,3.41E-06,4.6,,,
3.42E-06,10.4,3.42E-06,5,,,
3.43E-06,10,3.43E-06,5,,,
3.44E-06,10.2,3.44E-06,5,,,
3.45E-06,10.2,3.45E-06,4.6,,,
3.46E-06,10.4,3.46E-06,4.6,,,
3.47E-06,10.2,3.47E-06,4.8,,,
3.48E-06,10,3.48E-06,5,,,
3.49E-06,10.2,3.49E-06,4.8,,,
3.50E-06,10,3.50E-06,4.8,,,
3.51E-06,10.2,3.51E-06,5,,,
3.52E-06,10.2,3.52E-06,4.8,,,
3.53E-06,10.2,3.53E-06,5,,,
3.54E-06,10.4,3.54E-06,4.8,,,
3.55E-06,10.4,3.55E-06,4.8,,,
3.56E-06,10,3.56E-06,4.8,,,
3.57E-06,10.2,3.57E-06,4.6,,,
3.58E-06,10,3.58E-06,4.8,,,
3.59E-06,10.2,3.59E-06,4.8,,,
3.60E-06,10.2,3.60E-06,4.8,,,
3.61E-06,10.2,3.61E-06,4.8,,,
3.62E-06,10.4,3.62E-06,4.8,,,
3.63E-06,10,3.63E-06,5,,,
3.64E-06,10.2,3.64E-06,5,,,
3.65E-06,10.2,3.65E-06,4.8,,,
3.66E-06,10.2,3.66E-06,4.8,,,
3.67E-06,10.2,3.67E-06,4.8,,,
3.68E-06,10.2,3.68E-06,5.2,,,
3.69E-06,10.2,3.69E-06,4.8,,,
3.70E-06,10.2,3.70E-06,4.8,,,
3.71E-06,10,3.71E-06,5,,,
3.72E-06,10.4,3.72E-06,4.8,,,
3.73E-06,10,3.73E-06,5,,,
3.74E-06,10.6,3.74E-06,4.8,,,
3.75E-06,10.4,3.75E-06,4.8,,,
3.76E-06,10.6,3.76E-06,5,,,
3.77E-06,10.2,3.77E-06,4.8,,,
3.78E-06,9.8,3.78E-06,4.8,,,
3.79E-06,10.2,3.79E-06,4.8,,,
3.80E-06,10.2,3.80E-06,4.8,,,
3.81E-06,10.2,3.81E-06,5,,,
