Time - Plot 0,Amplitude - Plot 0
0.02348,-1.68
0.0235,-1.52
0.02352,-1.6
0.02354,-1.44
0.02356,-1.6
0.02358,-1.44
0.0236,-1.6
0.02362,-1.36
0.02364,-1.52
0.02366,-1.36
0.02368,-1.52
0.0237,-1.36
0.02372,-1.44
0.02374,-1.28
0.02376,-1.52
0.02378,-1.36
0.0238,-1.52
0.02382,-1.28
0.02384,-1.36
0.02386,-1.2
0.02388,-1.28
0.0239,-1.2
0.02392,-1.36
0.02394,-1.2
0.02396,-1.2
0.02398,-1.12
0.024,-1.2
0.02402,-1.04
0.02404,-1.2
0.02406,-1.04
0.02408,-1.2
0.0241,-0.96
0.02412,-1.12
0.02414,-0.96
0.02416,-1.04
0.02418,-0.88
0.0242,-0.96
0.02422,-0.88
0.02424,-0.96
0.02426,-0.88
0.02428,-0.88
0.0243,-0.8
0.02432,-0.8
0.02434,-0.72
0.02436,-0.88
0.02438,-0.72
0.0244,-0.72
0.02442,-0.64
0.02444,-0.72
0.02446,-0.48
0.02448,-0.64
0.0245,-0.48
0.02452,-0.56
0.02454,-0.48
0.02456,-0.64
0.02458,-0.4
0.0246,-0.48
0.02462,-0.32
0.02464,-0.56
0.02466,-0.24
0.02468,-0.48
0.0247,-0.32
0.02472,-0.48
0.02474,-0.16
0.02476,-0.32
0.02478,-0.16
0.0248,-0.32
0.02482,-0.16
0.02484,-0.24
0.02486,0
0.02488,-0.16
0.0249,0
0.02492,-0.08
0.02494,0
0.02496,-0.16
0.02498,0.16
0.025,-0.08
0.02502,0.16
0.02504,0.08
0.02506,0.16
0.02508,0.08
0.0251,0.24
0.02512,0.08
0.02514,0.32
0.02516,0.24
0.02518,0.32
0.0252,0.24
0.02522,0.4
0.02524,0.32
0.02526,0.4
0.02528,0.32
0.0253,0.48
0.02532,0.32
0.02534,0.48
0.02536,0.4
0.02538,0.56
0.0254,0.48
0.02542,0.64
0.02544,0.56
0.02546,0.64
0.02548,0.48
0.0255,0.72
0.02552,0.56
0.02554,0.64
0.02556,0.64
0.02558,0.72
0.0256,0.56
0.02562,0.64
0.02564,0.64
